Question,Accepted Answer,Paraphrased Question
How to make a Xul button bigger using css as it get focus?,"<p>try this:</p>

<pre><code>button:hover { 
  width: 200px;
}
</code></pre>
",What CSS techniques can be used to enlarge a Xul button when it receives focus?
"How to convert YOLO format annotations to x1, y1, x2, y2 coordinates in Python?","<p>If I recall correctly:</p>
<pre><code>x1 = (center_X-width/2)*image_width
x2 = (center_X+width/2)*image_width
y1 = (center_y-height/2)*image_height
y2 = (center_y+height/2)*image_height
</code></pre>
","What is the method to transform YOLO formatted annotations into x1, y1, x2, y2 coordinate representation using Python?"
Pass by reference or pass by value,"<p>I'll explain this thoroughly<br/><br/>
<code>o={a:1};</code> <br/>
first you set global variable o to be a reference of new anonymous object that have attribute variable a with value = 1 name this object {a:1} as '1A'<br/><br/>
<code>change(o);</code> <br/>
now you call function change and javascript check of typeof variable o and it's 'object' <br/>actually it's should be 'reference that pointed to object' so the reference of object {a:1} is pass into function change by the way if variable is primitive it will pass only by value <br/><br/>
<code>function change(myObj){</code> <br/>
now function change create variable myObj with typeof 'undefined' by default and then change to 'object' because it got reference parameter and now the variable myObj is a reference variable that pointed to object '1A' => {a:1} and myObj is visible only in function change
and global variable o maybe still point to object '1A' => {a:1} if myObj is just a copy of reference to object '1A' => {a:1} by language design<br/><br/>
<code>myObj={};</code> <br/>
now the reference variable myObj is point to new anonymous empty object {} name this object as '2B' <br/><br/></p>

<p><code>myObj.a=2;
}</code> <br/>
now you use reference myObj to set object '2B' => {} to have new attribute a with value = 2
and end the scope of function that mean global can't see object '2B' => {a:2}
<br/><br/>
<code>alert(o.a); //alert 1</code> <br/>
variable still point or may be point back to object {a:1} ,reference o can't lose it point, <br/>because object '2B' => {a:2} can't be seen outside function change<br/> and will be destroyed by garbage collection because it's lost the reference <br/>and object '1A' => {a:1} can't be destroyed by garbage collection <br/>because variable o still point at it that why you call o you receive object '1A' => {a:1} </p>

<p><br/>
sorry for my bad grammar but I try my best to make it easy to read.</p>
",Reference passing versus value passing in programming
Lottery with Supernumber,"<p>You can make an infinit loop and break it if you find a valid number like so:</p>

<pre><code>while(true){
    supNumb = Math.floor(49 * Math.random()) + 1;
    if(numb.indexOf(supNumb) &lt; 0){
        break;
    }
}
</code></pre>

<p>Also better use <code>indexOf</code> so search in the array. It is much faster than plain JS.
<a href=""https://www.w3schools.com/jsref/jsref_indexof_array.asp"" rel=""nofollow noreferrer"">https://www.w3schools.com/jsref/jsref_indexof_array.asp</a></p>

<hr>

<p>You could even use the <code>Set</code> mechanics to achieve this. Sets can only store unique values. All duplicates will thereby be ignored:</p>

<pre><code>var numbers = new Set(),
    supNumb = 0;
while(numbers.size &lt; 6){
    numbers.add(Math.floor(49 * Math.random()) + 1);
}
while(true){
    supNumb = Math.floor(49 * Math.random()) + 1;
    if(!numbers.has(supNumb)) break;
}
var sortedNumbers = [...numbers].sort((a,b)=&gt;{return a-b})
console.log(sortedNumbers, supNumb);
</code></pre>

<p><a href=""https://developer.mozilla.org/de/docs/Web/JavaScript/Reference/Global_Objects/Set"" rel=""nofollow noreferrer"">https://developer.mozilla.org/de/docs/Web/JavaScript/Reference/Global_Objects/Set</a></p>
",Lottery System Featuring a Special Number
Uncaught ReferenceError: height is not defined - Backbone.js,"<p>I think the problem is here </p>

<pre><code>var view = new SectionView({model: Sections});
</code></pre>

<p><code>Sections</code> is a collection, but you're telling the view it's a model, so there's a conflict there. </p>
","""Encountering an Uncaught ReferenceError: height variable missing in Backbone.js"""
plotting coordinate as a matrix matplotlib python,"<p>Edit: My original answer used <code>ax.scatter</code>. There is a problem with this: If two points are side-by-side, <code>ax.scatter</code> may draw them with a bit of space in between, depending on the scale:</p>

<p>For example, with  </p>

<pre><code>data = np.array([(2,3),(3,3)])
</code></pre>

<p>Here is a zoomed-in detail:</p>

<p><img src=""https://i.stack.imgur.com/Rvoj7.png"" alt=""enter image description here""></p>

<p>So here is a alternative solution that fixes this problem:</p>

<pre><code>import matplotlib.pyplot as plt
import numpy as np

data = np.array([(2,3),(3,3),(45,4),(3,65)])
N = data.max() + 5

# color the background white (1 is white)
arr = np.ones((N,N), dtype = 'bool')
# color the dots black (0)
arr[data[:,1], data[:,0]] = 0

fig = plt.figure()
ax = fig.add_subplot(1, 1, 1)

ax.imshow(arr, interpolation='nearest', cmap = 'gray')
ax.invert_yaxis()
# ax.axis('off')
plt.show()
</code></pre>

<p><img src=""https://i.stack.imgur.com/shiZx.png"" alt=""enter image description here""></p>

<p>No matter how much you zoom in, the adjacent squares at (2,3) and (3,3) will remain side-by-side.</p>

<p>Unfortunately, unlike <code>ax.scatter</code>, using <code>ax.imshow</code> requires building an <code>N x N</code> array, so it could be more memory-intensive than using <code>ax.scatter</code>. That should not be a problem unless <code>data</code> contains very large numbers, however. </p>
",Visualizing a coordinate grid using a matrix in Python with Matplotlib
Print Only Number On Array Data Python3,"<p>Use <code>str.isnumeric()</code> to test if a string is numeric.</p>

<pre><code>tables = [
    ['No', 'Name', 'Job'],
    ['1', 'A', 'A'],
    ['', '', ''],
    ['2', 'B', 'B'],
    ['3', 'C', 'C']
]
number_table = filter(lambda row: any(x.isnumeric() for x in row), tables)
</code></pre>
",Extract and Display Numeric Values from an Array in Python3
How to add .dll reference to ironpython VS2010 project?,"<p>Add Reference dialog should not be used. Instead you can </p>

<pre><code>import clr
clr.AddReferenceToFileAndPath(...) ' with path
</code></pre>

<p>or configure SearchPath directory and use AddReference</p>

<pre><code>import clr
clr.AddReference(""SharpSvn"")
</code></pre>
",What is the method for incorporating a .dll reference into an IronPython project in Visual Studio 2010?
re.sub isn't matching when it seems it should,"<p>It's hard to tell without seeing the <code>repr(filename)</code>, but I think your problem is the confusing of real newline characters with escaped newline characters.</p>

<p>Compare and contrast the examples below:</p>

<pre><code>&gt;&gt;&gt; pattern = ""(&lt;td&gt;)?\n\s+(&lt;/td&gt;)?""
&gt;&gt;&gt; filename1 =  '[&lt;td&gt;\n                  myfile.doc\n                &lt;/td&gt;]'
&gt;&gt;&gt; filename2 = r'[&lt;td&gt;\n                  myfile.doc\n                &lt;/td&gt;]'
&gt;&gt;&gt;
&gt;&gt;&gt; re.sub(pattern, '', filename1)
'[myfile.doc]'
&gt;&gt;&gt; re.sub(pattern, '', filename2)
'[&lt;td&gt;\\n                  myfile.doc\\n                &lt;/td&gt;]'
</code></pre>
",Why is re.sub not functioning as expected despite the apparent match?
"Using a string variable inside a view component result in ""Unexpected text node""","<p>Put strings inside  tag</p>

<pre><code>&lt;View style={styles.button} key={""r"" + i + ""c"" + j}&gt;
      &lt;Text&gt;{row[j]}&lt;/Text&gt;
&lt;/View&gt;
</code></pre>
","Encountering ""Unexpected text node"" when incorporating a string variable within a view component?"
Vue v-model on a specific prop,"<p>You can do it in many ways, but here are some simple examples</p>
<p>Use input handler instead of v-model</p>
<pre><code>&lt;input @input=&quot;(val) =&gt; prop === 'amount' ? num = val : false&quot; :value ... /&gt;
</code></pre>
<p>create another element</p>
<pre><code>&lt;input v-if=&quot;prop === amount&quot; v-model=&quot;num&quot;...&gt;&lt;input v-else :value... &gt;&lt;/input&gt;
</code></pre>
",How to implement Vue v-model for a designated property?
Elegant design for workflow with feedback mechanism,"<p>In your case, ""feedback""  is a cross-cutting concern, which is not part of core functionality).  Consider using AOP, as depicted below. That way you will keep your non-core code, i.e sending feedback, separate from core functionality. </p>

<p>Perhaps you can make an interface IDataImporter, make an around aspect that covers all methods in that interface. Create an abstract class that implements that interface, override appropriate methods in concrete-subclasses as required.</p>

<p>See attached image.
<img src=""https://i.stack.imgur.com/JoIBi.jpg"" alt=""Using AOP for cross-cutting concern""></p>
",Sleek approach for a process system incorporating a response loop
the Console.WriteLine method in java. to build a string,"<p>You can use <code>var-args</code> to handle an indeterminate number of parameters:</p>

<pre><code>void setPlot(String text, String... args) {
   System.out.printf(text, args);
}
</code></pre>
",Creating a string using the Console.WriteLine function in Java.
How To Show Each Element of a ArrayList<String> in a Tablecolumn in JavaFX,"<p><em>Although your design is kinda weird, yet..</em></p>

<p>You can use streams and convert your list to a String object and return it from the getter method.</p>

<pre><code>nameList.stream().collect(Collectors.joining(""\n""));
</code></pre>

<p>This will give you each element in a newline, yet it is one complete String.</p>

<pre><code>public class DataModelClass {

    private List&lt;String&gt; nameList;

    ...

    public String getNameList() {
        return nameList.stream().collect(Collectors.joining(""\n""));
    }

    ...
}
</code></pre>

<p>In your class, where you are using TableView,</p>

<pre><code>TableColumn&lt;DataModelClass, String&gt; name = new TableColumn&lt;DataModelClass, String&gt;(""Name"");
name.setCellValueFactory(new PropertyValueFactory&lt;DataModelClass, String&gt;(""nameList""));
</code></pre>
",What is the method to display every item from an ArrayList<String> in a table column using JavaFX?
Javascript window.open() passing args,"<p>myPage.html should exist, 
and <strong>check the docs on window.open</strong></p>

<p>to pass vars:</p>

<pre><code>var variable = ""lol"";
var w = window.open(""http://example.com"");
w.variable = variable;
</code></pre>

<p>or yopu can visit the opeing window:</p>

<pre><code>var variable = window.opener.variable;
</code></pre>
",How to pass arguments using the window.open() method in JavaScript?
python pptx change entire table font size,"<p>Font size in a table is set on a run-by-run basis. So you might do so as you're adding text, or you could do something like this afterward:</p>

<pre><code>from pptx.util import Pt

def iter_cells(table):
    for row in table.rows:
        for cell in row.cells:
            yield cell

for cell in iter_cells(table):
    for paragraph in cell.text_frame.paragraphs:
        for run in paragraph.runs:
            run.font.size = Pt(24)
</code></pre>
",How can I modify the font size for all cells in a table using python-pptx?
"Spring and XSLT, character encoding","<p>It seems as if the JSTL is either not reading or outputting UTF-8 data correctly.  I found several reports of issues with UTF-8 data and JSTL transforms, but not a lot of solutions.</p>

<p><strong>I did find <a href=""http://webcache.googleusercontent.com/search?q=cache%3aebBshacwKgIJ%3awever.org/java/space/java/UTF-8%2Bbug%2Bin%2BJSTL%27s%2Bxml%2Btransform%2Btag+jstl+utf-8+transform&amp;cd=1&amp;hl=en&amp;ct=clnk&amp;gl=us&amp;client=firefox-a&amp;source=www.google.com"" rel=""nofollow"">this page describing a similar problem with JSTL and UTF-8 support</a>. The solution was to switch transformers and use Saxon.</strong></p>
",Character Encoding Challenges in Spring Framework with XSLT Integration
innerHTML adding scripts causes error,"<p>I've finally figured out what my problem was. It was just the wrong way I was converting or rendering a MathJax script in a html page. It should be fixed like this:</p>

<p>Adding another script:</p>

<pre><code>&lt;script&gt;
  //
  //  Use a closure to hide the local variables from the
  //  global namespace
  //
  (function () {
    var QUEUE = MathJax.Hub.queue;  // shorthand for the queue
    var math = null;                // the element jax for the math output.

    //
    //  Get the element jax when MathJax has produced it.
    //
    QUEUE.Push(function () {
      math = MathJax.Hub.getAllJax(""MathOutput"")[0];
    });

    //
    //  The onchange event handler that typesets the
    //  math entered by the user
    //
    window.UpdateMath = function (TeX) {
      QUEUE.Push([""Text"",math,""\\displaystyle{""+TeX+""}""]);
    }
  })();
&lt;/script&gt;
</code></pre>

<p>Then it can easily be converted like this:</p>

<pre><code>&lt;p&gt;
Type some TeX code: (Example: \int\sin{x}\;{dt})
&lt;/p&gt;
&lt;input id=""MathInput"" class=""form-control"" type=""text"" size=""50"" onchange=""UpdateMath(this.value)"" /&gt;
&lt;p&gt;

&lt;div id=""MathOutput""&gt;
You typed: ${}$
&lt;/div&gt;
</code></pre>

<p>Output looks like:</p>

<p><img src=""https://i.stack.imgur.com/XXlnt.png"" alt=""enter image description here""></p>

<p>Thanks to @DemoUser for his valuable answer.</p>
",Using innerHTML to insert scripts leads to errors
How exactly does tkinter's mainloop work?,"<p>Although trying to rewrite the <code>tkinter</code> loop seems troublesome, it seems rewriting the <code>asyncio</code> loop is quite easy, given <code>tkinter</code>'s <code>after</code> function. The main gist of it is this:</p>
<pre class=""lang-py prettyprint-override""><code>&quot;&quot;&quot;Example integrating `tkinter`'s `mainloop` with `asyncio`.&quot;&quot;&quot;
import asyncio
import tkinter as tk
from typing import Any, Awaitable, TypeVar

T = TypeVar(&quot;T&quot;)


class AsyncTk(tk.Tk):
    &quot;&quot;&quot;
    A Tk class that can run asyncio awaitables alongside the tkinter application.

    Use `root.run_with_mainloop(awaitable)` instead of `root.mainloop()` as a way to run
    coroutines alongside it. It functions similarly to using `asyncio.run(awaitable)`.

    Alternatively use `await root.async_loop()` if you need to run this in an asynchronous
    context. Because this doesn't run `root.mainloop()` directly, it may not behave exactly
    the same as using `root.run_with_mainloop(awaitable)`.
    &quot;&quot;&quot;
    is_running: bool

    def __init__(self, /, *args: Any, **kwargs: Any) -&gt; None:
        super().__init__(*args, **kwargs)
        self.is_running = True

    def __advance_loop(self, loop: asyncio.AbstractEventLoop, timeout, /) -&gt; None:
        &quot;&quot;&quot;Helper method for advancing the asyncio event loop.&quot;&quot;&quot;
        # Stop soon i.e. only advance the event loop a little bit.
        loop.call_soon(loop.stop)
        loop.run_forever()
        # If tkinter is still running, repeat this method.
        if self.is_running:
            self.after(timeout, self.__advance_loop, loop, timeout)

    async def async_loop(self, /) -&gt; None:
        &quot;&quot;&quot;
        An asynchronous variant of `root.mainloop()`.

        Because this doesn't run `root.mainloop()` directly, it may not behave exactly
        the same as using `root.run_with_mainloop(awaitable)`.
        &quot;&quot;&quot;
        # For threading.
        self.tk.willdispatch()
        # Run initial update.
        self.update()
        # Run until `self.destroy()` is called.
        while self.is_running:
            # Let other code run.
            # Uses a non-zero sleep time because tkinter should be expected to be slow.
            # This decreases the busy wait time.
            await asyncio.sleep(tk._tkinter.getbusywaitinterval() / 10_000)
            # Run one event.
            self.tk.dooneevent(tk._tkinter.DONT_WAIT)

    def run_with_mainloop(self, awaitable: Awaitable[T], /, *, timeout: float = 0.001) -&gt; T:
        &quot;&quot;&quot;
        Run an awaitable alongside the tkinter application.

        Similar to using `asyncio.run(awaitable)`.

        Use `root.run_with_mainloop(awaitable, timeout=...)` to
        customize the frequency the asyncio event loop is updated.
        &quot;&quot;&quot;
        if not isinstance(awaitable, Awaitable):
            raise TypeError(f&quot;awaitable must be an Awaitable, got {awaitable!r}&quot;)
        elif not isinstance(timeout, (float, int)):
            raise TypeError(f&quot;timeout must be a float or integer, got {timeout!r}&quot;)
        # Start a new event loop with the awaitable in it.
        loop = asyncio.new_event_loop()
        task = loop.create_task(awaitable)
        # Use tkinter's `.after` to run the asyncio event loop.
        self.after(0, self.__advance_loop, loop, max(1, int(timeout * 1000)))
        # Run tkinter, which periodically checks
        self.mainloop()
        # After tkinter is done, wait until `asyncio` is done.
        try:
            return loop.run_until_complete(task)
        finally:
            loop.run_until_complete(loop.shutdown_asyncgens())
            loop.close()

    def destroy(self, /) -&gt; None:
        super().destroy()
        self.is_running = False
</code></pre>
<p>The example application may be fixed up like this:</p>
<pre class=""lang-py prettyprint-override""><code>import asyncio
from random import randrange
import tkinter as tk

def deg_color(deg, d_per_tick, color):
    &quot;&quot;&quot;Helper function for updating the degree and color.&quot;&quot;&quot;
    deg += d_per_tick
    if 360 &lt;= deg:
        deg %= 360
        color = f&quot;#{randrange(256):02x}{randrange(256):02x}{randrange(256):02x}&quot;
    return deg, color

async def rotator(root, interval, d_per_tick):
    &quot;&quot;&quot;
    An example custom method for running code asynchronously
    instead of using `tkinter.Tk.after`.

    NOTE: Code that can use `tkinter.Tk.after` is likely
          preferable, but this may not fit all use-cases and
          may sometimes require more complicated code.
    &quot;&quot;&quot;
    canvas = tk.Canvas(root, height=600, width=600)
    canvas.pack()
    deg = 0
    color = 'black'
    arc = canvas.create_arc(
        100,
        100,
        500,
        500,
        style=tk.CHORD,
        start=0,
        extent=deg,
        fill=color,
    )
    while root.is_running:
        deg, color = deg_color(deg, d_per_tick, color)
        canvas.itemconfigure(arc, extent=deg, fill=color)
        await asyncio.sleep(interval)

def main():
    root = AsyncTk()
    root.run_with_mainloop(rotator(root, 1/60, 2))

if __name__ == &quot;__main__&quot;:
    main()
</code></pre>
",What is the underlying mechanism of the mainloop function in tkinter?
Is it a good idea to use repaint() as a game loop?,"<p>I would not use <code>paint()</code> that way, no.  <code>paint()</code> should be for painting ... drawing.  I would split your monitoring of user input, and game logic processing, outside that method.</p>

<p>Have you considered using the <a href=""http://docs.oracle.com/javame/config/cldc/ref-impl/midp2.0/jsr118/javax/microedition/lcdui/game/GameCanvas.html"" rel=""nofollow"">GameCanvas subclass of Canvas</a>?</p>

<p>It gives you some nice double-buffering features.  You would create another thread, which would call your GameCanvas' <code>run()</code> method, where it would check for user input, update the game logic, then draw to the off-screen buffer, and finally trigger repainting of the on-screen buffer.  </p>

<p>Something like this:</p>

<pre><code>class MyGameCanvas extends GameCanvas implements Runnable {

    /** start this game! */
    public void start() {
        Thread worker = new Thread(this);
        worker.start();
    }

    /** run the game loop */
    public void run() {
       // Get the Graphics object for the off-screen buffer
       Graphics g = getGraphics();

       while (true) {
          // Check user input and update positions if necessary
          int keyState = getKeyStates();
          if ((keyState &amp; LEFT_PRESSED) != 0) {
             sprite.move(-1, 0);
          }
          else if ((keyState &amp; RIGHT_PRESSED) != 0) {
             sprite.move(1, 0);
          }

          // Clear the background to white
          g.setColor(0xFFFFFF);
          g.fillRect(0,0,getWidth(), getHeight());

          // Draw the Sprite
          sprite.paint(g);

          // Flush the off-screen buffer
          flushGraphics();

          try {
             // TODO: of course, you might want a more intelligent
             //  sleep interval, that reflects the amount of time
             //  remaining (if any) in the cycle ...
             Thread.sleep(10);  //sleep 10 ms
          }
          catch (InterruptedException e) {
             e.printStackTrace();
          }
       }
    }
}
</code></pre>

<p>Note that I put basically everything in the <code>run()</code> method, for brevity.  I'm assuming your game is more complicated, and would warrant splitting off separate methods for getting user input, updating logic, and then calling graphics/paint methods.  Those would all be called from <code>run()</code>.</p>

<h2>Usage</h2>

<p>Start this in your MIDlet's <code>startApp()</code> method:</p>

<pre><code>  MyGameCanvas gameCanvas = new MyGameCanvas();
  gameCanvas.start();
  exitCommand = new Command(""Exit"", Command.EXIT, 1);
  gameCanvas.addCommand(exitCommand);
  gameCanvas.setCommandListener(this);
  Display.getDisplay(this).setCurrent(gameCanvas);
</code></pre>

<h2>References</h2>

<ul>
<li><a href=""http://www.codeproject.com/Articles/35833/Programming-2D-Games-in-J2ME"" rel=""nofollow"">http://www.codeproject.com/Articles/35833/Programming-2D-Games-in-J2ME</a></li>
<li><a href=""http://j2megame.uw.hu/ch07lev1sec155.html"" rel=""nofollow"">an example that shows a better implementation</a>, if you <strong>don't</strong> use <code>GameCanvas</code> and just use <code>Canvas</code>.</li>
<li><a href=""http://ktpng.com/mc/ppt/L10_J2ME_Game_API_01.ppt"" rel=""nofollow"">PowerPoint overview of Game APIs and looping</a> , with code and general theory</li>
</ul>
",Should repaint() be considered an effective method for implementing a game loop?
Problems with custom LIBFFI Heroku buildpack,"<p>It appears github user kennethjiang had the same problem and forked the <a href=""https://github.com/kennethjiang/heroku-buildpack-python-libffi"">custom libffi buildpack</a> with a fix just four days ago.</p>

<p>Here are the relevant changes:</p>

<p><a href=""https://github.com/kennethjiang/heroku-buildpack-python-libffi/compare/3bb5fab8213f41411f515f21a6c83ff36c8aa1f2...8ef02"">https://github.com/kennethjiang/heroku-buildpack-python-libffi/compare/3bb5fab8213f41411f515f21a6c83ff36c8aa1f2...8ef02</a></p>

<pre><code>$ heroku config:add BUILDPACK_URL=git://github.com/kennethjiang/heroku-buildpack-python-libffi.git
$ git push heroku master
Initializing repository, done.
Counting objects: 3, done.
Writing objects: 100% (3/3), 260 bytes, done.
Total 3 (delta 0), reused 0 (delta 0)

-----&gt; Fetching custom git buildpack... done
-----&gt; Python app detected
-----&gt; No runtime.txt provided; assuming python-2.7.4.
-----&gt; Preparing Python runtime (python-2.7.4)
-----&gt; Installing Distribute (0.6.36)
-----&gt; Installing Pip (1.3.1)
-----&gt; Noticed cffi. Bootstrapping libffi.
PKG_CONFIG_PATH=:/app/vendor/libffi-3.0/lib/pkgconfig/
libffi.pc is in-place at /app/vendor/libffi-3.0/vendor/lib/pkgconfig/libffi.pc, libffi-based builds should work!
-----&gt; Installing dependencies using Pip (1.3.1)
       Downloading/unpacking pyOpenSSL==0.14 (from -r requirements.txt (line 1))
         Running setup.py egg_info for package pyOpenSSL

           no previously-included directories found matching 'doc/_build'
       Downloading/unpacking cryptography==0.2.2 (from -r requirements.txt (line 2))
         Running setup.py egg_info for package cryptography
           no previously-included directories found matching 'documentation/_build'
           zip_safe flag not set; analyzing archive contents...
           six: module references __file__
           six: module references __path__

           Installed /tmp/pip-build-u24412/cryptography/six-1.6.1-py2.7.egg
           Searching for cffi&gt;=0.8
           Reading http://pypi.python.org/simple/cffi/
           Best match: cffi 0.8.2
           Downloading https://pypi.python.org/packages/source/c/cffi/cffi-0.8.2.tar.gz#md5=37fc88c62f40d04e8a18192433f951ec
           Processing cffi-0.8.2.tar.gz
           Writing /tmp/easy_install-vYzEMy/cffi-0.8.2/setup.cfg
           Running cffi-0.8.2/setup.py -q bdist_egg --dist-dir /tmp/easy_install-vYzEMy/cffi-0.8.2/egg-dist-tmp-KU0RrQ
           cc -c c/check__thread.c -o c/check__thread.o

           Installed /tmp/pip-build-u24412/cryptography/cffi-0.8.2-py2.7-linux-x86_64.egg
...

       Successfully installed pyOpenSSL cryptography six cffi pycparser
       Cleaning up...

-----&gt; Discovering process types
       Procfile declares types -&gt; (none)

-----&gt; Compressing... done, 27.9MB
-----&gt; Launching... done, v5
       http://quiet-atoll-6802.herokuapp.com/ deployed to Heroku

To git@heroku.com:quiet-atoll-6802.git
 * [new branch]      master -&gt; master
</code></pre>
",Challenges Encountered with Heroku Buildpack for Custom LIBFFI Configuration
unexpected use of event when i pass another thing with it in parameter,"<p>The event being used inside the function is not the object that <code>onClick</code> passes back. Also <code>onClick</code> expects a function and hence you should not call the function directly unless it returns back a function which onClick will execute. </p>

<p>The solution for your case can use curried function like</p>

<pre><code> addTopicEvent =(dataid)=&gt;(e) =&gt; {
        e.stopPropagation();
        this.props.addEditTopicShow('add',{});
        this.chapterId=dataid;
        console.log('this.chapterId is',this.chapterId);

 }

 &lt;Button onClick={addTopicEvent(dataid)}  variant=""fab"" mini color=""primary"" aria-label=""Add"" className={classes.button}&gt;
                    &lt;AddIcon /&gt;
 &lt;/Button&gt;
</code></pre>

<p>or simply using arrow function like</p>

<pre><code> addTopicEvent =(e,dataid)=&gt;{
        e.stopPropagation();
        this.props.addEditTopicShow('add',{});
        this.chapterId=dataid;
        console.log('this.chapterId is',this.chapterId);

 }

&lt;Button onClick={(e) =&gt; addTopicEvent(e, dataid)}  variant=""fab"" mini color=""primary"" aria-label=""Add"" className={classes.button}&gt;
        &lt;AddIcon /&gt;
 &lt;/Button&gt;
</code></pre>
",Unanticipated behavior of an event when I include an additional parameter alongside it.
What is the Pythonic way to check if a list of strings is sorted or not?,"<p>Typically, I'd use your solution (<code>if x == sorted(x):</code>) and accept the cost; it's easy to write, and if it's not a hot code path, it hardly matters if you're doing it somewhat inefficiently (for the already-sorted case, it'll be roughly <code>O(n)</code> anyway thanks to Python's TimSort, so you only pay <code>O(n log n)</code> general sort costs for the &quot;not sorted&quot; case). It's also easy to customize when you need to handle reverse sorting, keyed sorting, etc., while remaining easy to write and easy to verify by inspection.</p>
<p>If you want a more efficient solution using Python builtins, you could do something along the lines of (with <code>from operator import le</code> at the top of the file):</p>
<pre><code>if all(map(le, my_string_list, my_string_list[1:])):
</code></pre>
<p>which compares each element to the following element, returning <code>False</code> on the first mismatch, and <code>True</code> if they're all less than or equal to the following element. Replace <code>my_string_list[1:]</code> with <code>itertools.islice(my_string_list, 1, None)</code> if you have concerns about the cost (computational or memory cost) of building the temporary <code>list</code> with the plain slice.</p>
",How can one determine if a collection of strings is arranged in order using Pythonic practices?
pylint Cannot import custom module and function (no-name-in-module),"<p>Try to include an <code>__init__.py</code> file in the folder.</p>

<p><strong>Reason:</strong></p>

<p>The <code>__init__.py</code> files are required to make Python treat the directories as containing packages.</p>

<p>Structure:</p>

<pre><code>package_name/
  __init__.py
  foo.py
  subpackage/
    other.py
</code></pre>

<hr>

<p>More info and examples here:
<a href=""https://docs.python.org/3/tutorial/modules.html#packages"" rel=""nofollow noreferrer"">https://docs.python.org/3/tutorial/modules.html#packages</a></p>
",Issues with Pylint Importing User-Defined Modules and Functions (no-name-in-module Error)
How can I make a div stick to the top of the screen once it's been scrolled to?,"<p>You could use simply css, positioning your element as <a href=""https://developer.mozilla.org/en-US/docs/Web/CSS/position"" rel=""noreferrer"">fixed</a>:</p>

<pre><code>.fixedElement {
    background-color: #c0c0c0;
    position:fixed;
    top:0;
    width:100%;
    z-index:100;
}
</code></pre>

<p><strong>Edit:</strong> You should have the element with position absolute, once the scroll offset has reached the element, it should be changed to fixed, and the top position should be set to zero.</p>

<p>You can detect the top scroll offset of the document with the <a href=""http://docs.jquery.com/CSS/scrollTop"" rel=""noreferrer"">scrollTop</a> function:</p>

<pre><code>$(window).scroll(function(e){ 
  var $el = $('.fixedElement'); 
  var isPositionFixed = ($el.css('position') == 'fixed');
  if ($(this).scrollTop() &gt; 200 &amp;&amp; !isPositionFixed){ 
    $el.css({'position': 'fixed', 'top': '0px'}); 
  }
  if ($(this).scrollTop() &lt; 200 &amp;&amp; isPositionFixed){
    $el.css({'position': 'static', 'top': '0px'}); 
  } 
});
</code></pre>

<p>When the scroll offset reached 200, the element will <em>stick</em> to the top of the browser window, because is placed as fixed.</p>
",What methods can I use to keep a div fixed at the top of the viewport after it has been scrolled into view?
